X,Y,ID
90590,10638,E02006781
137005,31040,E02003950
145011,32017,E02003947
146195,28590,E02003951
146826,31146,E02003948
147192,30455,E02003949
151258,40181,E02003943
152794,37887,E02003945
155436,32381,E02003946
156593,37661,E02003944
162679,26741,E02003929
164214,40170,E02003924
165334,40678,E02003923
165548,39423,E02003925
166263,27740,E02003928
167002,43368,E02003918
167630,41642,E02003922
168242,34540,E02003926
169838,42728,E02003919
170160,41738,E02003920
170322,19880,E02003930
171894,49233,E02003907
172533,41288,E02003921
175943,53874,E02003906
176442,32988,E02003927
177786,38658,E02003913
178136,34514,E02003914
179509,32045,E02003917
179906,40986,E02003911
180034,44850,E02003909
180079,33252,E02003915
180457,61460,E02003954
180789,32358,E02003916
181956,61138,E02003955
182172,44615,E02003910
183375,45264,E02003908
183637,62070,E02003952
183949,53920,E02003905
184754,227535,W02000128
189466,44096,E02003912
189572,213105,W02000133
189584,206104,W02000137
190503,73882,E02003938
190978,62422,E02003953
191105,206388,W02000135
194758,214892,W02000131
195097,215931,W02000130
195731,236965,W02000127
195954,54330,E02003958
196333,206090,W02000134
196733,203218,W02000138
197346,76541,E02003937
197643,59258,E02003956
197981,201377,W02000140
199170,72200,E02003939
200012,46502,E02003964
201255,52889,E02003962
202117,201273,W02000139
202350,52519,E02003963
203292,53256,E02003961
203434,221699,W02000129
203553,57875,E02003957
206153,66774,E02003942
206692,53774,E02003959
206924,70595,E02003940
207429,66651,E02003941
207430,86280,E02003933
208827,53965,E02003960
211053,214575,W02000132
212375,206218,W02000136
212733,200828,W02000141
214017,85183,E02003934
218219,239448,W02000126
218964,246893,W02000124
221402,55973,E02003901
221544,106339,E02003931
223355,103184,E02003932
224688,382168,W02000003
224988,64413,E02003896
225194,53391,E02003904
225326,68886,E02003893
225732,64680,E02003895
226911,216148,W02000418
228282,380127,W02000004
228288,330777,W02000023
229903,80257,E02003936
233219,84488,E02003935
233608,105725,E02004227
233625,376383,W02000007
233977,237211,W02000144
235451,59413,E02003898
235889,69690,E02003894
236364,122697,E02004224
236423,335401,W02000021
236613,243182,W02000125
238726,256191,W02000122
239934,220490,W02000147
240970,59290,E02003897
241358,220758,W02000148
241510,219685,W02000149
241690,59002,E02003899
241746,391721,W02000001
241799,206614,W02000159
242208,103082,E02004228
242224,70807,E02003892
242572,58995,E02003900
242580,52906,E02003903
242988,339618,W02000020
243289,83388,E02004232
243501,55076,E02003902
244368,201155,W02000162
244523,128512,E02004221
244721,58146,E02003130
244988,126817,E02004222
244988,129441,E02004220
245269,56894,E02003135
245320,54884,E02003147
245563,211697,W02000153
245590,126162,E02004223
245608,59941,E02003125
245611,375905,W02000006
245765,55975,E02003141
246036,369193,W02000009
246120,59036,E02003127
246194,56972,E02003134
246499,55634,E02003145
246915,54646,E02003150
247067,57347,E02003132
247125,60287,E02003124
247334,353257,W02000017
247464,58902,E02003128
247513,140235,E02004178
247958,56528,E02003138
248100,73943,E02004233
248221,55624,E02003144
248245,54770,E02003148
248265,67339,E02004235
248567,60837,E02003123
248645,362766,W02000015
248770,136301,E02004179
248779,56848,E02003137
248803,58439,E02003129
249030,359855,W02000016
249134,55289,E02003146
249149,54587,E02003149
249225,384683,W02000002
249733,57023,E02003133
249825,119281,E02004225
249907,200781,W02000164
249945,61050,E02003122
250052,263804,W02000120
250217,55984,E02003142
250484,52990,E02003152
250529,132025,E02004185
250626,241253,W02000142
250750,57662,E02003131
250778,199469,W02000167
250922,59172,E02003126
250972,222975,W02000146
251058,211673,W02000157
251199,201054,W02000163
251253,61431,E02004189
251463,200139,W02000165
251499,69943,E02004234
251515,147011,E02004177
251699,52369,E02003153
252134,201501,W02000161
252200,147461,E02004175
252608,53214,E02003151
252757,188864,W02000197
252825,365390,W02000013
253046,49507,E02004197
253094,56319,E02003140
253694,200145,W02000166
253882,131925,E02004186
253918,56960,E02003136
254551,372255,W02000008
254645,195331,W02000185
254817,132437,E02004183
255369,55682,E02003143
255370,201669,W02000160
255687,212133,W02000156
255714,56478,E02003139
255862,133994,E02004181
256428,133404,E02004182
256563,339232,W02000019
256915,371141,W02000011
257141,113419,E02004226
257162,248873,W02000123
257197,132478,E02004184
257369,377351,W02000005
257542,363114,W02000014
257887,372173,W02000010
257991,198150,W02000174
