X,Y,AREACD
207142,199111,W01000584
207160,84203,E01018941
207189,67079,E01018933
207354,66015,E01018935
207866,66452,E01018934
207998,53834,E01019026
208429,227237,W01000582
208448,54553,E01019024
209446,206035,W01000563
210031,73403,E01018926
210217,83263,E01033292
210223,59933,E01019037
210459,59725,E01019035
210649,83836,E01033291
210965,214756,W01000595
211211,52317,E01019025
211423,212664,W01000596
211583,205819,W01000564
211807,200462,W01000610
212075,219681,W01000583
212256,51892,E01019027
212421,207427,W01000576
212660,200588,W01000621
212713,201071,W01000619
212832,92237,E01018969
213112,204452,W01000615
213290,200433,W01000620
213336,205038,W01000616
213703,53923,E01018766
214684,236901,W01000560
215284,207581,W01000553
215468,213904,W01000577
215978,245786,W01000613
217760,245801,W01000511
218158,246385,W01000510
218413,246964,W01000509
218524,67925,E01018784
219305,223895,W01000674
219717,242668,W01000558
219810,232148,W01000561
219957,216683,W01000735
220250,88557,E01018968
220307,54983,E01018761
220930,248265,W01000547
220991,107170,E01018961
221042,106373,E01018936
221098,105735,E01018938
221240,64833,E01018758
221265,51614,E01018762
221306,244311,W01000546
221414,58173,E01018760
221668,105923,E01018937
221688,107311,E01018959
221884,235949,W01000559
222369,103530,E01018951
222750,106297,E01018960
222820,331801,W01001932
223383,382668,W01000034
223444,80051,E01018925
224127,209498,W01000672
224320,382979,W01000037
224372,382076,W01000030
224386,64337,E01018772
224525,382391,W01000016
224689,382910,W01000036
224711,64292,E01018770
224792,381536,W01000017
224921,68370,E01018782
224945,53439,E01018773
225102,111745,E01018943
225195,381868,W01000029
225280,64424,E01018771
225338,96967,E01018974
225359,379703,W01000040
225395,53251,E01018776
225457,382159,W01000033
225529,64790,E01018767
225607,68338,E01018783
225630,64960,E01018769
225768,53853,E01018775
225814,251303,W01000508
225861,59597,E01018759
225875,54350,E01018774
225965,250464,W01000507
225981,64608,E01018768
226097,124424,E01020292
226966,377999,W01000039
227653,216485,W01000720
228369,245050,W01000519
228555,340165,W01000094
228568,217186,W01000721
228675,89409,E01018953
228878,62904,E01018778
229019,379258,W01000043
229036,224817,W01000728
229040,103034,E01020302
229072,69695,E01018779
229130,380046,W01000044
229259,81617,E01018965
229541,72987,E01018777
229847,84041,E01018952
229972,210672,W01000673
230211,329838,W01000084
230695,240185,W01000646
230717,340528,W01000095
231364,386717,W01000022
231841,54278,E01018757
231972,377403,W01000024
232091,251590,W01000545
232096,114294,E01020291
232278,331473,W01000080
232559,83967,E01018946
232750,85213,E01018948
233091,85422,E01018949
233178,121239,E01020288
233225,84504,E01018950
233272,380184,W01000023
233364,373247,W01000002
233641,371525,W01000001
233884,83925,E01018947
234081,104052,E01020294
234375,336298,W01000070
234408,104233,E01020293
234410,241480,W01000531
234682,59469,E01018785
234967,77681,E01018966
235682,214110,W01000700
235819,246292,W01000551
235834,237415,W01000689
236001,70950,E01018752
236104,69703,E01018751
236227,69349,E01018750
236526,73717,E01018967
236633,91352,E01020286
236638,390967,W01000031
236942,210177,W01000723
236956,393286,W01000018
237327,238643,W01000688
237327,345997,W01000078
237398,334317,W01000109
237448,60573,E01018763
237467,335207,W01000108
238437,376192,W01000009
238832,255762,W01000532
238844,85193,E01020340
238940,259630,W01000544
239369,66949,E01018765
239413,229703,W01000648
239429,224114,W01000649
239506,220314,W01000644
