WZ11CD,BNGEAST,BNGNORTH,LONGITUDE,LATITUDE
E33022459,421809,303944,-1.679196822,52.63281734
E33022621,450161,273906,-1.264823608,52.36092348
E33023026,384812,255571,-2.223632901,52.19815815
E33020863,396422,292226,-2.054177636,52.52789197
E33023027,384457,256200,-2.228848943,52.20380529
E33020860,395208,292901,-2.072080879,52.53395132
E33023024,384085,255135,-2.234247407,52.1942235
E33020861,396271,294123,-2.056414616,52.54494475
E33023022,386867,256712,-2.193608611,52.2084723
E33023023,383425,256334,-2.243965149,52.20498175
E33023020,386278,255684,-2.202189325,52.1992143
E33022628,449449,273806,-1.275304676,52.36009163
E33023021,386249,256356,-2.202639755,52.2052535
E33022629,449768,274117,-1.270572463,52.36285331
E33023236,406229,286377,-1.909717872,52.47528923
E33023237,406269,286598,-1.909124312,52.47727744
E33020868,395524,291750,-2.0674077,52.52360685
E33023038,386928,255039,-2.192654714,52.1934291
E33023200,381393,271555,-2.274538121,52.34175528
E33023039,386183,254502,-2.203525132,52.18858919
E33023201,381300,271103,-2.275878325,52.33768576
E33023280,409627,283222,-1.859778202,52.44687783
E33023208,433468,282780,-1.509065989,52.44197036
E33023209,432427,284499,-1.524217501,52.45748049
E33021826,330321,330056,-3.036441099,52.86345419
E33020036,407843,293259,-1.885799864,52.53713554
E33021827,330087,329196,-3.039736291,52.85569405
E33020037,408382,293080,-1.877851809,52.53552365
E33021824,331830,337232,-3.015537203,52.92814436
E33020034,404734,294139,-1.931622068,52.5450806
E33021825,329826,336448,-3.04517724,52.92084346
E33020035,407731,293586,-1.887445954,52.54007845
E33021822,330353,333556,-3.036721251,52.89491526
E33020032,405107,293563,-1.926127906,52.53990519
E33021823,332332,336748,-3.007971668,52.92385813
E33020033,405710,293506,-1.917246842,52.53938195
E33021820,355395,322389,-2.662978244,52.79720486
E33020030,412454,293086,-1.817829678,52.53549526
E33021821,327782,334645,-3.075171737,52.90436627
E33020031,412024,294319,-1.824119865,52.54659393
E33020206,412819,287646,-1.812655763,52.48658373
E33020287,405906,283188,-1.914529539,52.44662062
E33020207,413108,287220,-1.808415462,52.48274609
E33020286,404185,284812,-1.939833833,52.46123897
E33020204,413174,286805,-1.807450506,52.47901629
E33020285,412561,284887,-1.816554613,52.46178284
E33020205,412803,287061,-1.812911895,52.48132874
E33020284,411758,284690,-1.828377244,52.46003193
E33020202,411643,287044,-1.829991935,52.48120099
E33020283,411715,283955,-1.829032998,52.45342457
E33020203,413148,287663,-1.807807229,52.48673195
E33020282,411402,284817,-1.833617009,52.46118587
E33021828,329923,330438,-3.042439554,52.86683849
E33020038,407931,293650,-1.884491396,52.54065223
E33020200,411278,286931,-1.835366456,52.48019375
E33020281,412216,285048,-1.821630162,52.46324076
E33021829,328623,328902,-3.061411307,52.85286262
E33020039,407813,294600,-1.88621337,52.54918871
E33020201,412204,288028,-1.821693212,52.49003118
E33020280,409031,284584,-1.868511639,52.45913179
E33020416,405474,280178,-1.920930504,52.41956563
E33020497,438173,281299,-1.440014844,52.42834735
