ID,Lat,Lon
E01019077,4991569,-631169
E01018993,5012341,-568321
E01018992,5012738,-567734
E01019005,5007147,-566881
E01018991,5015167,-566534
E01019006,5009007,-559950
E01018989,5013508,-556570
E01019003,5010483,-555316
E01018977,5012555,-555454
E01019004,5010116,-554951
E01019000,5011312,-554985
E01018994,5011784,-554959
E01018976,5012805,-554840
E01019002,5008617,-554148
E01018995,5012074,-554148
E01018997,5012764,-554014
E01019001,5011528,-553776
E01018998,5012276,-553689
E01018999,5012039,-553641
E01018996,5012529,-553112
E01018988,5013968,-549192
E01019009,5020515,-549352
E01019010,5021096,-549202
E01019008,5020979,-548936
E01018987,5016126,-547957
E01019012,5021224,-548159
E01019011,5020059,-547516
E01018990,5012488,-546258
E01018986,5019397,-546348
E01018985,5018934,-546078
E01018975,5012472,-543470
E01019007,5016171,-542839
E01018983,5017832,-542272
E01018984,5018545,-541450
E01018982,5018947,-541376
E01018981,5019370,-540372
E01018978,5019766,-538940
E01018862,5011056,-538193
E01018980,5020472,-536819
E01018864,5014823,-535405
E01018979,5017993,-535510
E01018861,5011110,-533716
E01018906,5008569,-531444
E01018907,5008568,-531127
E01018876,5021625,-531474
E01018905,5010861,-530487
E01018863,5017432,-530890
E01018877,5020652,-530717
E01018874,5021809,-530722
E01018875,5021433,-530592
E01018878,5021318,-529875
E01018866,5021992,-529701
E01018868,5021547,-529482
E01018871,5020977,-529388
E01018867,5021854,-528723
E01018869,5020951,-528641
E01018891,5023251,-528743
E01018870,5021155,-528569
E01018865,5022329,-528497
E01018882,5010837,-527704
E01018887,5009725,-527512
E01018873,5020265,-528212
E01018892,5026080,-528532
E01018885,5010336,-527296
E01018872,5019522,-527716
E01018883,5011246,-527140
E01018888,5010183,-526708
E01018886,5009703,-526632
E01018884,5011189,-526483
E01018890,5024069,-527109
E01018897,5022536,-526747
E01018903,5007754,-525427
E01018893,5024838,-526575
E01018896,5023466,-526215
E01018889,5024271,-526214
E01018898,5023157,-526096
E01018904,5002668,-524416
E01018895,5022968,-525457
E01018894,5020383,-523864
E01018914,5022957,-523667
E01018910,5024046,-523173
E01018911,5023556,-523061
E01018825,5028416,-523368
E01018908,5024884,-523123
E01018922,5015860,-522197
E01018913,5023172,-522447
E01018909,5023859,-522146
E01018915,5022802,-522033
E01018912,5023962,-521575
E01018881,4998306,-519300
E01018917,5021725,-520496
E01018826,5028168,-520568
E01018916,5021643,-519953
E01018851,5031163,-520438
E01018852,5030799,-519807
E01018918,5023936,-518680
E01018880,5011776,-517854
E01018919,5023035,-518032
E01018921,5018728,-517607
E01018902,5007672,-515705
E01018829,5022694,-515571
E01018820,5025757,-515696
E01018842,5034275,-515845
W01000612,5188188,-526297
E01018844,5034467,-515256
E01018901,5019529,-514050
E01018843,5033025,-514704
E01018899,5016866,-512554
E01018830,5021354,-512216
E01018834,5016619,-511447
E01018879,5011632,-510990
E01018835,5017136,-511274
E01018819,5026092,-511785
E01018900,5014623,-510433
E01018836,5016815,-510548
E01018822,5026205,-511118
E01018832,5037969,-511756
E01018837,5016921,-510191
E01018833,5034176,-511222
E01018920,5004822,-509175
E01019031,5040501,-510965
E01018811,5014445,-509090
E01018814,5015128,-508973
E01018860,5015880,-508838
E01018817,5022056,-509236
E01018813,5014061,-508543
E01018859,5015443,-508615
E01018855,5026160,-509231
E01018812,5014628,-508384
E01018841,5016186,-508121
E01018827,5018955,-508218
E01018838,5015799,-507969
E01019030,5040986,-509448
E01018806,5015039,-507559
E01018840,5015375,-507578
E01018818,5022662,-508003
E01018839,5015865,-507499
E01018821,5028800,-508183
E01019028,5041308,-508978
E01018856,5026305,-507899
E01018828,5017193,-507187
E01018804,5015272,-507046
E01018805,5014834,-506983
E01019029,5041383,-508404
E01019022,5040926,-508080
E01018803,5014902,-506125
W01000618,5187834,-517584
E01018857,5026655,-506672
E01019020,5041361,-507534
E01018810,5026312,-506444
E01018816,5020955,-506082
E01019021,5040696,-507138
E01018808,5025945,-505865
E01018858,5026902,-505838
E01019023,5040469,-506612
E01018809,5026328,-505599
E01019019,5041625,-506570
E01018807,5025856,-505181
E01019018,5041025,-506046
E01018831,5036648,-505554
E01019048,5042202,-505694
E01018823,5026734,-504642
E01018824,5027241,-504301
E01018854,5025861,-504194
W01000614,5172285,-513767
E01018853,5026577,-503676
E01019049,5041705,-504528
E01019051,5041985,-504502
E01018815,5031260,-503007
W01000581,5193879,-513582
E01019050,5040270,-502521
E01018849,5017265,-499967
E01018846,5027561,-500060
W01000622,5178030,-509757
E01019060,5045408,-499711
W01000556,5184334,-508014
E01018955,5052360,-499017
E01018954,5048037,-498274
W01000592,5171413,-505766
W01000591,5171560,-505165
W01000589,5171336,-504727
W01000590,5171028,-504670
E01018848,5029220,-495250
W01000594,5171655,-503564
W01000587,5171301,-503005
E01019063,5038029,-494190
E01019061,5043337,-494463
E01019062,5043056,-494294
W01000593,5172223,-502535
E01019064,5039511,-493840
E01018957,5053805,-494689
W01000588,5171749,-502276
E01018847,5031933,-493076
E01018850,5021945,-492406
E01019065,5039419,-493407
W01000555,5183219,-502417
E01018958,5053803,-494007
E01018845,5026872,-491381
E01018956,5050999,-492343
W01000575,5175589,-499637
E01019066,5029902,-489480
W01000579,5192394,-499538
W01000570,5180239,-498709
W01000567,5200202,-499994
E01019072,5034442,-489306
W01000617,5196892,-499633
W01000571,5179956,-498360
E01019071,5034482,-488920
E01033289,5055380,-489731
W01000569,5180571,-497648
W01000573,5179572,-497493
W01000586,5178825,-497253
W01000568,5180070,-497146
E01019054,5038221,-488077
E01019055,5038413,-488072
W01000574,5165995,-495913
W01000566,5199233,-497914
E01019069,5036953,-487252
W01000565,5199404,-497475
W01000572,5180887,-496245
W01000599,5171090,-495600
W01000605,5168652,-495086
W01000598,5171057,-494901
W01000603,5169102,-494602
E01019070,5035859,-486199
