ID,Lat,Lon
E02006781,4991569,-631169
E02003950,5012103,-568060
E02003947,5013329,-556949
E02003951,5010304,-555067
E02003948,5012625,-554356
E02003949,5012021,-553799
E02003943,5020923,-548758
E02003945,5018928,-546460
E02003946,5014095,-542412
E02003944,5018883,-541134
E02003929,5009326,-531943
E02003924,5021444,-530632
E02003923,5021945,-529096
E02003925,5020826,-528719
E02003928,5010365,-527002
E02003918,5024426,-526927
E02003922,5022901,-525942
E02003926,5016548,-524652
E02003919,5023962,-522917
E02003920,5023086,-522407
E02003930,5003465,-520863
E02003907,5029883,-520431
E02003921,5022774,-519058
E02003906,5034206,-515030
E02003927,5015469,-513098
E02003913,5020612,-511550
E02003914,5016903,-510819
E02003917,5014737,-508756
E02003911,5022782,-508719
E02003909,5026256,-508764
E02003915,5015843,-508029
E02003954,5041188,-509139
E02003916,5015066,-506985
E02003955,5040955,-507014
E02003910,5026125,-505755
E02003908,5026752,-504107
E02003952,5041854,-504705
E02003905,5034546,-503798
W02000128,5190466,-513043
E02003912,5025923,-495508
W02000133,5177694,-505171
W02000137,5171409,-504730
E02003938,5052711,-495716
E02003953,5042436,-494406
W02000135,5171721,-502549
W02000131,5179492,-497771
W02000130,5180437,-497341
W02000127,5199346,-497670
E02003958,5035343,-486970
W02000134,5171646,-494974
W02000138,5169081,-494228
E02003937,5055341,-486218
E02003956,5039828,-484864
W02000140,5167473,-492319
E02003939,5051505,-483413
E02003964,5028451,-480858
E02003962,5034230,-479452
W02000139,5167527,-486339
E02003963,5033935,-477896
E02003961,5034628,-476612
W02000129,5185916,-485593
E02003957,5038786,-476487
E02003942,5046866,-473294
E02003959,5035206,-471866
E02003940,5050324,-472406
E02003941,5046798,-471492
E02003933,5064430,-472506
E02003960,5035447,-468878
W02000132,5179781,-474154
W02000136,5172321,-471788
W02000141,5167492,-470980
E02003934,5063659,-463145
W02000126,5202358,-465087
W02000124,5209069,-464397
E02003901,5037647,-451314
E02003931,5082900,-453536
E02003932,5080122,-450815
W02000003,5330735,-463266
E02003896,5045338,-446670
E02003904,5035441,-445867
E02003893,5049367,-446403
E02003895,5045600,-445635
W02000418,5181708,-451260
W02000004,5329020,-457767
W02000023,5284704,-455124
E02003936,5059718,-440476
E02003935,5063616,-435985
E02004227,5082708,-436394
W02000007,5325829,-449564
W02000144,5200843,-442034
E02003898,5041148,-431724
E02003894,5050395,-431559
E02004224,5098036,-433246
W02000021,5289110,-443289
W02000125,5206285,-438483
W02000122,5218033,-436020
