ID,Lat,Lon
E01019077,4992295,-631187
E01018993,5012355,-568340
E01018992,5012525,-567839
E01019005,5006954,-566370
E01018991,5015186,-566426
E01019006,5009199,-560020
E01018989,5014441,-556722
E01019003,5010462,-555387
E01018977,5012552,-555459
E01019004,5010163,-554977
E01019000,5011304,-554941
E01018994,5011872,-554954
E01019002,5008900,-554386
E01018976,5012958,-554321
E01018995,5012058,-554125
E01018997,5012763,-554024
E01019001,5011539,-553765
E01018998,5012277,-553695
E01018999,5012032,-553617
E01018996,5012575,-553029
E01018988,5013940,-549152
E01019009,5020392,-549478
E01019010,5021116,-549097
E01019008,5020950,-548928
E01018987,5016354,-548317
E01019012,5021272,-548109
E01019011,5020114,-547526
E01018990,5012346,-546163
E01018986,5019426,-546477
E01018985,5018806,-545553
E01018975,5012412,-543238
E01019007,5015116,-542493
E01018983,5017872,-542269
E01018982,5019038,-541517
E01018984,5018514,-541452
E01018981,5019392,-540385
E01018978,5019821,-538760
E01018862,5011096,-538003
E01018980,5020813,-537223
E01018864,5014650,-535418
E01018979,5017982,-535500
E01018861,5011283,-533947
E01018906,5008589,-531464
E01018907,5008482,-531078
E01018876,5021750,-531992
E01018905,5011037,-530276
E01018877,5020534,-530853
E01018863,5016898,-530504
E01018874,5021807,-530741
E01018875,5021437,-530615
E01018878,5021396,-529923
E01018866,5021999,-529718
E01018868,5021571,-529470
E01018871,5020961,-529391
E01018891,5023363,-528929
E01018867,5021876,-528796
E01018869,5020943,-528583
E01018870,5021148,-528576
E01018882,5010814,-527718
E01018865,5022362,-528483
E01018887,5009742,-527534
E01018873,5020205,-528221
E01018885,5010362,-527322
E01018872,5019504,-527715
E01018892,5026108,-527922
E01018888,5010150,-526814
E01018886,5009589,-526725
E01018883,5011210,-526820
E01018884,5011119,-526505
E01018890,5024185,-527225
E01018897,5022286,-526713
E01018893,5024702,-526605
E01018896,5023533,-526177
E01018889,5024289,-526223
E01018898,5023153,-526102
E01018904,5002575,-524521
E01018895,5022930,-525408
E01018903,5005954,-523865
E01018894,5020530,-524037
E01018914,5022841,-523432
E01018910,5024047,-523136
E01018911,5023565,-523046
E01018908,5024806,-522841
E01018922,5015657,-522154
E01018913,5023160,-522447
E01018909,5023871,-522251
E01018915,5022812,-522176
E01018825,5027804,-522502
E01018912,5024045,-521468
E01018881,4998474,-519413
E01018917,5021845,-520598
E01018916,5021605,-519898
E01018851,5031205,-520420
E01018826,5027961,-519938
E01018880,5011398,-518661
E01018852,5030932,-519534
E01018918,5023992,-518839
E01018919,5023013,-518056
E01018921,5018550,-517664
E01018902,5007890,-515886
E01018829,5022700,-515816
E01018820,5025980,-515897
E01018842,5034228,-515656
E01018844,5034482,-515268
W01000612,5188508,-525689
E01018843,5032601,-514781
E01018901,5019345,-513732
E01018899,5016312,-513524
E01018830,5021345,-512403
E01018879,5011512,-511700
E01018834,5016716,-511559
E01018835,5017158,-511305
E01018819,5026088,-511763
E01018900,5014481,-510744
E01018832,5038204,-512029
E01018920,5004286,-509817
E01018836,5016799,-510549
E01018822,5026196,-511140
E01018833,5034375,-511471
E01018837,5016952,-510167
E01019031,5040484,-511043
E01018811,5014464,-509082
E01018817,5022674,-509541
E01018814,5015102,-508967
E01018860,5015882,-508837
E01018859,5015469,-508778
E01018813,5013998,-508588
E01018827,5019294,-508708
E01018812,5014688,-508402
E01018855,5026162,-509028
E01018841,5016186,-508124
E01018838,5015777,-507941
E01019030,5040962,-509388
E01018806,5015015,-507605
E01018840,5015373,-507608
E01018821,5028740,-508366
E01018839,5015875,-507487
E01018818,5022844,-507775
E01019028,5041360,-508912
E01018856,5026276,-507928
E01018828,5017528,-507230
E01018805,5014817,-507004
E01018804,5015262,-507026
E01019029,5041395,-508471
E01019022,5040932,-508082
E01018857,5026615,-506894
E01018803,5014881,-506138
E01019020,5041353,-507532
E01018810,5026314,-506452
E01018816,5021049,-505996
E01019021,5040693,-507174
E01018808,5025934,-505937
E01018858,5026919,-505843
E01019023,5040485,-506601
W01000618,5187988,-516467
E01019019,5041569,-506528
E01018809,5026380,-505375
E01018807,5025805,-505203
E01019018,5041036,-506053
E01018831,5036844,-505429
E01019048,5042356,-505588
E01018823,5026762,-504578
W01000614,5172498,-514039
E01018824,5027172,-504185
E01018854,5025957,-504066
E01018853,5026584,-503795
E01019049,5041524,-504718
E01019051,5041996,-504602
E01018815,5032078,-503642
W01000581,5193945,-512749
E01019050,5040527,-502110
E01018849,5017224,-499840
E01018846,5026913,-500147
W01000622,5177439,-509505
E01019060,5045648,-499467
E01018955,5052430,-499576
W01000556,5183906,-508013
E01018954,5048635,-498738
W01000592,5171394,-505776
W01000591,5171608,-505159
W01000589,5171323,-504741
W01000590,5171016,-504668
E01018848,5029202,-495238
E01019063,5037677,-495117
W01000594,5171741,-503544
E01018957,5053902,-495660
E01018847,5032295,-494234
W01000587,5171282,-502922
E01019061,5043374,-494402
E01019062,5043109,-494308
W01000593,5172159,-502434
W01000588,5171739,-502265
E01018850,5022239,-492564
E01019064,5040337,-493663
E01018845,5027737,-492739
E01019065,5039413,-493429
E01018958,5053879,-494020
W01000555,5182959,-502131
E01018956,5051463,-492750
W01000575,5175629,-500205
W01000617,5197405,-500608
W01000579,5191066,-499777
E01018964,5056607,-491073
W01000570,5180255,-498673
